date, pm25
2020/11/1, 11
2020/11/2, 12
2020/11/3, 25
2020/11/4, 24
2020/11/5, 33
2020/11/6, 51
2020/11/7, 47
2020/11/8, 42
2020/11/9, 37
2020/11/10, 42
2020/11/11, 17
2020/11/12, 28
2020/11/13, 23
2020/11/14, 29
2020/11/16, 19
2020/11/17, 11
2020/11/18, 11
2020/11/19, 18
2020/11/20, 31
2020/11/21, 17
2020/11/22, 29
2020/11/23, 22
2020/11/24, 29
2020/11/25, 25
2020/11/26, 21
2020/11/27, 20
2020/10/1, 23
2020/10/2, 14
2020/10/3, 24
2020/10/4, 23
2020/10/5, 18
2020/10/6, 23
2020/10/7, 34
2020/10/8, 36
2020/10/9, 49
2020/10/10, 45
2020/10/11, 41
2020/10/12, 40
2020/10/13, 23
2020/10/14, 21
2020/10/15, 9
2020/10/16, 12
2020/10/17, 16
2020/10/18, 15
2020/10/19, 24
2020/10/20, 26
2020/10/21, 33
2020/10/22, 37
2020/10/23, 33
2020/10/24, 9
2020/10/25, 15
2020/10/26, 15
2020/10/27, 16
2020/10/28, 18
2020/10/29, 23
2020/10/30, 15
2020/10/31, 20
2020/9/1, 51
2020/9/2, 41
2020/9/3, 35
2020/9/4, 37
2020/9/5, 44
2020/9/6, 47
2020/9/7, 68
2020/9/8, 33
2020/9/9, 46
2020/9/11, 41
2020/9/12, 52
2020/9/13, 45
2020/9/14, 48
2020/9/15, 49
2020/9/16, 49
2020/9/17, 37
2020/9/18, 24
2020/9/19, 33
2020/9/20, 39
2020/9/21, 30
2020/9/22, 46
2020/9/23, 51
2020/9/24, 51
2020/9/25, 45
2020/9/26, 53
2020/9/27, 53
2020/9/28, 31
2020/9/29, 22
2020/9/30, 24
2020/8/1, 25
2020/8/2, 32
2020/8/3, 17
2020/8/4, 11
2020/8/5, 18
2020/8/6, 24
2020/8/7, 41
2020/8/8, 37
2020/8/9, 43
2020/8/10, 43
2020/8/11, 33
2020/8/12, 35
2020/8/13, 38
2020/8/14, 39
2020/8/15, 48
2020/8/16, 23
2020/8/17, 30
2020/8/18, 22
2020/8/19, 16
2020/8/20, 22
2020/8/21, 31
2020/8/22, 32
2020/8/23, 39
2020/8/24, 50
2020/8/25, 42
2020/8/26, 55
2020/8/27, 51
2020/8/28, 52
2020/8/29, 46
2020/7/1, 44
2020/7/2, 45
2020/7/3, 47
2020/7/4, 66
2020/7/5, 61
2020/7/6, 56
2020/7/7, 60
2020/7/8, 51
2020/7/9, 49
2020/7/10, 35
2020/7/11, 37
2020/7/12, 30
2020/7/13, 29
2020/7/15, 43
2020/7/16, 35
2020/7/17, 39
2020/7/18, 52
2020/7/19, 36
2020/7/20, 28
2020/7/21, 31
2020/7/22, 34
2020/7/23, 22
2020/7/24, 33
2020/7/25, 50
2020/7/26, 40
2020/7/27, 31
2020/7/28, 27
2020/7/29, 23
2020/7/30, 22
2020/7/31, 21
2020/6/1, 19
2020/6/2, 32
2020/6/3, 34
2020/6/4, 45
2020/6/5, 46
2020/6/6, 30
2020/6/7, 29
2020/6/8, 36
2020/6/9, 40
2020/6/10, 25
2020/6/11, 25
2020/6/12, 29
2020/6/13, 19
2020/6/14, 16
2020/6/15, 22
2020/6/16, 37
2020/6/17, 47
2020/6/18, 47
2020/6/19, 61
2020/6/20, 63
2020/6/21, 46
2020/6/22, 40
2020/6/23, 27
2020/6/24, 33
2020/6/25, 36
2020/6/26, 43
2020/6/27, 37
2020/6/28, 49
2020/6/29, 51
2020/6/30, 50
2020/5/1, 46
2020/5/2, 46
2020/5/3, 43
2020/5/11, 53
2020/5/12, 44
2020/5/13, 50
2020/5/14, 51
2020/5/16, 49
2020/5/17, 60
2020/5/18, 62
2020/5/19, 56
2020/5/20, 55
2020/5/21, 55
2020/5/22, 62
2020/5/23, 57
2020/5/24, 59
2020/5/25, 55
2020/5/26, 59
2020/5/27, 58
2020/5/28, 46
2020/5/29, 21
2020/5/30, 16
2020/5/31, 13
2020/4/1, 18
2020/4/2, 26
2020/4/3, 30
2020/4/4, 14
2020/4/5, 14
2020/4/6, 25
2020/4/7, 42
2020/4/8, 47
2020/4/9, 33
2020/4/10, 31
2020/4/11, 45
2020/4/12, 48
2020/4/13, 32
2020/4/14, 33
2020/4/15, 32
2020/4/16, 34
2020/4/17, 40
2020/4/18, 43
2020/4/19, 39
2020/4/20, 34
2020/4/21, 35
2020/4/22, 50
2020/4/23, 61
2020/4/24, 56
2020/4/25, 49
2020/4/26, 41
2020/4/27, 44
2020/4/28, 53
2020/4/29, 40
2020/4/30, 33
2020/3/1, 31
2020/3/2, 25
2020/3/3, 23
2020/3/4, 9
2020/3/5, 21
2020/3/6, 9
2020/3/7, 15
2020/3/8, 15
2020/3/9, 31
2020/3/10, 18
2020/3/11, 28
2020/3/12, 33
2020/3/13, 10
2020/3/14, 8
2020/3/15, 10
2020/3/16, 25
2020/3/17, 20
2020/3/18, 33
2020/3/19, 33
2020/3/20, 15
2020/3/21, 13
2020/3/22, 23
2020/3/23, 31
2020/3/24, 40
2020/3/25, 35
2020/3/26, 23
2020/3/27, 29
2020/3/28, 29
2020/3/29, 11
2020/3/30, 12
2020/3/31, 14
2020/2/1, 39
