date, pm25, pm10, o3, no2, so2, co
2020/5/25, 19, 10, , , , 
2020/5/26, 13, 10, , , , 
2020/5/27, 9, 10, , , , 
2020/5/28, 5, 11, , , , 
2020/5/29, 11, , , , , 
2020/5/31, 9, 8, , , , 
2020/4/1, 11, 7, , , , 
2020/4/2, 9, 7, , , , 
2020/4/3, 9, 9, , , , 
2020/4/4, 13, 4, , , , 
2020/4/5, 9, 4, , , , 
2020/4/6, 5, 7, , , , 
2020/4/7, 13, 10, , , , 
2020/4/8, 17, 10, , , , 
2020/4/9, 13, 8, , , , 
2020/4/10, 9, 8, , , , 
2020/4/11, 13, 5, , , , 
2020/4/12, 9, 4, , , , 
2020/4/13, 9, 8, , , , 
2020/4/14, 17, 6, , , , 
2020/4/15, 11, 7, , , , 
2020/4/16, 13, 10, , , , 
2020/4/17, 13, 8, , , , 
2020/4/18, 17, 8, , , , 
2020/4/19, 17, 7, , , , 
2020/4/20, 13, 10, , , , 
2020/4/21, 13, 11, , , , 
2020/4/22, 13, 10, , , , 
2020/4/23, 13, 9, , , , 
2020/4/24, 11, 6, , , , 
2020/4/25, 7, 4, , , , 
2020/4/26, 5, 3, , , , 
2020/4/27, 5, 5, , , , 
2020/4/28, 5, 2, , , , 
2020/4/29, 5, 4, , , , 
2020/4/30, 9, 4, , , , 
2020/3/1, 15, 5, , , , 
2020/3/2, 11, , , , , 
2020/3/4, 13, 6, , , , 
2020/3/5, 11, 6, , , , 
2020/3/6, 11, 9, , , , 
2020/3/7, 13, 10, , , , 
2020/3/8, 19, 6, , , , 
2020/3/9, 13, 6, , , , 
2020/3/10, 13, 1, , , , 
2020/3/11, 5, 5, , , , 
2020/3/12, 10, 8, , , , 
2020/3/13, 17, 10, , , , 
2020/3/14, 17, 6, , , , 
2020/3/15, 11, 4, , , , 
2020/3/16, 7, 7, , , , 
2020/3/17, 11, 8, , , , 
2020/3/18, 13, 6, , , , 
2020/3/19, 11, 6, , , , 
2020/3/20, 11, 9, , , , 
2020/3/21, 13, 9, , , , 
2020/3/22, 13, 9, , , , 
2020/3/23, 11, 6, , , , 
2020/3/24, 9, 6, , , , 
2020/3/25, 9, 7, , , , 
2020/3/26, 9, 9, , , , 
2020/3/27, 11, 10, , , , 
2020/3/28, 13, 9, , , , 
2020/3/29, 15, 9, , , , 
2020/3/30, 15, 6, , , , 
2020/3/31, 11, 6, , , , 
2020/2/1, 5, 21, , , , 
2020/2/2, 32, 24, , , , 
2020/2/3, 44, 18, , , , 
2020/2/4, 29, 14, , , , 
2020/2/5, 23, 20, , , , 
2020/2/6, 34, 14, , , , 
2020/2/7, 23, 14, , , , 
2020/2/8, 21, 17, , , , 
2020/2/9, 25, 10, , , , 
2020/2/10, 22, 10, , , , 
2020/2/11, 17, 9, , , , 
2020/2/12, 17, 8, , , , 
2020/2/13, 13, 7, , , , 
2020/2/14, 13, 13, , , , 
2020/2/15, 25, 4, , , , 
2020/2/16, 9, 5, , , , 
2020/2/17, 11, 9, , , , 
2020/2/18, 19, 7, , , , 
2020/2/19, 13, 10, , , , 
2020/2/20, 17, 5, , , , 
2020/2/21, 9, 12, , , , 
2020/2/22, 25, 10, , , , 
2020/2/23, 23, 2, , , , 
2020/2/24, 5, 4, , , , 
2020/2/25, 9, 5, , , , 
2020/2/26, 9, 8, , , , 
2020/2/27, 13, 5, , , , 
2020/2/28, 9, 8, , , , 
2020/2/29, 11, 9, , , , 
2020/1/1, 23, 9, , , , 
2020/1/2, 19, 9, , , , 
2020/1/3, 13, 17, , , , 
2020/1/4, 19, 13, , , , 
2020/1/5, 15, 8, , , , 
2020/1/6, 9, 21, , , , 
2020/1/7, 25, , , , , 
2020/1/9, 53, 14, , , , 
2020/1/10, 17, 10, , , , 
2020/1/11, 9, 22, , , , 
2020/1/12, 25, 12, , , , 
2020/1/13, 13, 16, , , , 
2020/1/14, 23, 13, , , , 
2020/1/15, 21, 21, , , , 
2020/1/16, 25, 20, , , , 
2020/1/17, 25, 9, , , , 
2020/1/18, 11, 16, , , , 
2020/1/19, 21, 14, , , , 
2020/1/20, 21, 16, , , , 
2020/1/21, 21, 16, , , , 
2020/1/22, 25, 12, , , , 
2020/1/23, 27, 6, , , , 
2020/1/24, 9, 8, , , , 
2020/1/25, 13, 23, , , , 
2020/1/26, 32, 19, , , , 
2020/1/27, 23, 9, , , , 
2020/1/28, 11, 10, , , , 
2020/1/29, 15, 21, , , , 
2020/1/30, 30, 7, , , , 
2020/1/31, 7, 3, , , , 
2019/10/1, 11, 18, , , , 
2019/10/2, 17, 8, , , , 
2019/10/3, 9, 14, , , , 
2019/10/4, 17, 19, , , , 
2019/10/5, 30, , , , , 
2019/10/7, 9, 12, , , , 
2019/10/8, 17, 20, , , , 
2019/10/9, 30, 10, , , , 
2019/10/10, 13, 16, , , , 
2019/10/11, 21, 10, , , , 
2019/10/12, 9, 9, , , , 
2019/10/13, 5, 11, , , , 
2019/10/14, 9, 15, , , , 
2019/10/15, 10, 13, , , , 
2019/10/16, 9, 14, , , , 
2019/10/17, 13, 10, , , , 
2019/10/18, 13, 13, , , , 
2019/10/19, 21, 9, , , , 
2019/10/20, 9, 7, , , , 
2019/10/21, 9, 10, , , , 
2019/10/22, 13, 9, , , , 
2019/10/23, 9, 10, , , , 
2019/10/24, 13, 10, , , , 
2019/10/25, 13, 10, , , , 
2019/10/26, 13, 9, , , , 
2019/10/27, 11, 9, , , , 
2019/10/28, 13, 9, , , , 
2019/10/29, 13, 10, , , , 
2019/10/30, 9, 10, , , , 
2019/10/31, 13, 10, , , , 
2019/11/1, 13, 6, , , , 
2019/11/2, 9, 10, , , , 
2019/11/3, 19, 10, , , , 
2019/11/4, 15, 10, , , , 
2019/11/5, 13, 8, , , , 
2019/11/6, 11, 9, , , , 
2019/11/7, 17, 7, , , , 
2019/11/8, 9, 6, , , , 
2019/11/9, 11, 6, , , , 
2019/11/10, 11, 5, , , , 
2019/11/11, 9, 8, , , , 
2019/11/12, 13, 7, , , , 
2019/11/13, 9, 6, , , , 
2019/11/14, 7, 4, , , , 
2019/11/15, 5, 6, , , , 
2019/11/16, 9, 6, , , , 
2019/11/17, 9, 5, , , , 
2019/11/18, 11, 18, , , , 
2019/11/19, 13, 17, , , , 
2019/11/20, 21, 16, , , , 
2019/11/21, 17, 13, , , , 
2019/11/22, 21, 17, , , , 
2019/11/23, 17, 17, , , , 
2019/11/24, 17, 18, , , , 
2019/11/25, 23, 13, , , , 
2019/11/26, 13, 18, , , , 
2019/11/27, 23, 17, , , , 
2019/11/28, 17, 18, , , , 
2019/11/29, 21, 19, , , , 
2019/11/30, 27, , , , , 
2019/12/2, 9, 13, , , , 
2019/12/3, 13, 13, , , , 
2019/12/4, 15, 16, , , , 
2019/12/5, 21, 14, , , , 
2019/12/6, 21, 6, , , , 
2019/12/7, 5, 15, , , , 
2019/12/8, 19, 16, , , , 
2019/12/9, 28, 17, , , , 
2019/12/10, 25, 15, , , , 
2019/12/11, 25, 14, , , , 
2019/12/12, 21, 9, , , , 
2019/12/13, 17, 20, , , , 
2019/12/14, 30, 21, , , , 
2019/12/15, 30, 14, , , , 
2019/12/16, 23, 11, , , , 
2019/12/17, 17, 8, , , , 
2019/12/18, 9, 17, , , , 
2019/12/19, 20, 24, , , , 
2019/12/20, 34, 7, , , , 
2019/12/21, 9, 15, , , , 
2019/12/22, 27, 11, , , , 
2019/12/23, 17, 22, , , , 
2019/12/24, 30, 18, , , , 
2019/12/25, 32, 9, , , , 
2019/12/26, 13, 12, , , , 
2019/12/27, 21, 7, , , , 
2019/12/28, 11, 6, , , , 
2019/12/29, 9, , , , , 
2019/7/1, 15, 8, , , , 
2019/7/2, 13, 10, , , , 
2019/7/3, 17, 10, , , , 
2019/7/4, 17, 10, , , , 
2019/7/5, 15, 11, , , , 
2019/7/6, 13, 7, , , , 
2019/7/7, 9, 18, , , , 
2019/7/8, 17, 13, , , , 
2019/7/9, 15, 12, , , , 
2019/7/10, 17, 17, , , , 
2019/7/11, 13, 10, , , , 
2019/7/12, 9, 7, , , , 
2019/7/13, 5, 6, , , , 
2019/7/14, 9, 6, , , , 
2019/7/15, 9, 8, , , , 
2019/7/16, 9, 12, , , , 
2019/7/17, 13, 11, , , , 
2019/7/18, 13, 11, , , , 
2019/7/19, 15, 14, , , , 
2019/7/20, 15, 16, , , , 
2019/7/21, 13, 18, , , , 
2019/7/22, 13, 13, , , , 
2019/7/23, 13, 21, , , , 
2019/7/24, 15, 19, , , , 
2019/7/25, 15, 51, , , , 
2019/7/26, 46, 24, , , , 
2019/7/27, 27, 30, , , , 
2019/7/28, 13, 17, , , , 
2019/7/29, 9, 15, , , , 
2019/7/30, 13, 18, , , , 
2019/7/31, 23, 11, , , , 
2019/8/1, 9, 13, , , , 
2019/8/2, 13, 14, , , , 
2019/8/3, 17, 13, , , , 
2019/8/4, 13, 17, , , , 
2019/8/5, 17, 17, , , , 
2019/8/6, 17, 17, , , , 
2019/8/7, 17, 12, , , , 
2019/8/8, 13, 12, , , , 
2019/8/9, 11, 16, , , , 
2019/8/10, 30, 27, , , , 
2019/8/11, 42, 15, , , , 
2019/8/12, 21, 10, , , , 
2019/8/13, 13, 10, , , , 
2019/8/14, 9, 10, , , , 
2019/8/15, 11, 14, , , , 
2019/8/16, 13, 10, , , , 
2019/8/17, 13, 22, , , , 
2019/8/18, 27, 18, , , , 
2019/8/19, 21, 19, , , , 
2019/8/20, 21, 19, , , , 
2019/8/21, 21, 18, , , , 
2019/8/22, 21, 15, , , , 
2019/8/23, 17, 11, , , , 
2019/8/24, 13, 16, , , , 
2019/8/25, 19, 10, , , , 
2019/8/26, 13, 12, , , , 
2019/8/27, 15, 15, , , , 
2019/8/28, 15, 7, , , , 
2019/8/29, 7, 12, , , , 
2019/8/30, 13, 13, , , , 
2019/8/31, 17, 11, , , , 
2019/9/1, 13, 11, , , , 
2019/9/2, 13, 12, , , , 
2019/9/3, 13, 11, , , , 
2019/9/4, 13, 13, , , , 
2019/9/5, 13, 11, , , , 
2019/9/6, 13, , , , , 
2019/9/8, 13, 9, , , , 
2019/9/9, 13, 9, , , , 
2019/9/10, 9, 10, , , , 
2019/9/11, 9, 10, , , , 
2019/9/12, 9, 11, , , , 
2019/9/13, 13, 13, , , , 
2019/9/14, 13, 11, , , , 
2019/9/15, 13, 9, , , , 
2019/9/16, 9, 8, , , , 
2019/9/17, 9, 12, , , , 
2019/9/18, 15, 18, , , , 
2019/9/19, 21, 16, , , , 
2019/9/20, 17, 16, , , , 
2019/9/21, 15, 17, , , , 
2019/9/22, 17, 10, , , , 
2019/9/23, 13, 9, , , , 
2019/9/24, 11, 10, , , , 
2019/9/25, 15, 8, , , , 
2019/9/26, 9, 14, , , , 
2019/9/27, 19, 15, , , , 
2019/9/28, 21, 10, , , , 
2019/9/29, 17, 9, , , , 
2019/9/30, 9, 11, , , , 
2019/4/1, 50, , , , , 
2019/4/4, 13, 10, , , , 
2019/4/5, 21, , , , , 
2019/4/13, 17, 7, , , , 
2019/4/14, 17, 7, , , , 
2019/4/15, 15, 13, , , , 
2019/4/16, 27, 20, , , , 
2019/4/17, 53, 25, , , , 
