,Date,Total Traveler Throughput,Total Traveler Throughput (1 Year Ago - Same Weekday)
173,2020/06/14,544046,2642083
174,2020/06/13,437119,2318946
175,2020/06/12,519304,2727860
176,2020/06/11,502209,2675686
177,2020/06/10,386969,2509058
178,2020/06/09,338382,2433189
179,2020/06/08,430414,2644981
180,2020/06/07,441255,2669860
181,2020/06/06,353016,2225952
182,2020/06/05,419675,2649808
183,2020/06/04,391882,2623947
184,2020/06/03,304436,2370152
185,2020/06/02,267742,2247421
186,2020/06/01,353261,2499002
187,2020/05/31,352947,2555578
188,2020/05/30,268867,2117180
189,2020/05/29,327133,2570613
190,2020/05/28,321776,2485770
191,2020/05/27,261170,2269035
192,2020/05/26,264843,2453649
193,2020/05/25,340769,2512237
194,2020/05/24,267451,2070716
195,2020/05/23,253190,2124825
196,2020/05/22,348673,2792670
197,2020/05/21,318449,2673635
198,2020/05/20,230367,2472123
199,2020/05/19,190477,2312727
0,2020/05/18,244176,2615691
1,2020/05/17,253807,2620276
2,2020/05/16,193340,2091116
3,2020/05/15,250467,2664549
4,2020/05/14,234928,2611324
5,2020/05/13,176667,2343675
6,2020/05/12,163205,2191387
7,2020/05/11,215645,2512315
8,2020/05/10,200815,2419114
9,2020/05/09,169580,1985942
10,2020/05/08,215444,2602631
11,2020/05/07,190863,2555342
12,2020/05/06,140409,2270662
13,2020/05/05,130601,2106597
14,2020/05/04,163692,2470969
15,2020/05/03,170254,2512598
16,2020/05/02,134261,1968278
17,2020/05/01,171563,2546029
18,2020/04/30,154695,2499461
19,2020/04/29,119629,2256442
20,2020/04/28,110913,2102068
21,2020/04/27,119854,2412770
22,2020/04/26,128875,2506809
23,2020/04/25,114459,1990464
24,2020/04/24,123464,2521897
25,2020/04/23,111627,2526961
26,2020/04/22,98968,2254209
27,2020/04/21,92859,2227475
28,2020/04/20,99344,2594171
29,2020/04/19,105382,2356802
30,2020/04/18,97236,1988205
31,2020/04/17,106385,2457133
32,2020/04/16,95085,2616158
33,2020/04/15,90784,2317381
34,2020/04/14,87534,2208688
35,2020/04/13,102184,2484580
36,2020/04/12,90510,2446801
37,2020/04/11,93645,2059142
38,2020/04/10,108977,2590499
39,2020/04/09,104090,2487398
40,2020/04/08,94931,2229276
41,2020/04/07,97130,2091056
42,2020/04/06,108310,2384091
43,2020/04/05,122029,2462929
44,2020/04/04,118302,2011715
45,2020/04/03,129763,2476884
46,2020/04/02,124021,2411500
47,2020/04/01,136023,2151626
48,2020/03/31,146348,2026256
49,2020/03/30,154080,2360053
50,2020/03/29,180002,2510294
51,2020/03/28,184027,2172920
52,2020/03/27,199644,2538384
53,2020/03/26,203858,2487162
54,2020/03/25,239234,2273811
55,2020/03/24,279018,2151913
56,2020/03/23,331431,2434370
57,2020/03/22,454516,2542643
58,2020/03/21,548132,2227181
59,2020/03/20,593167,2559307
60,2020/03/19,620883,2513231
61,2020/03/18,779631,2320885
62,2020/03/17,953699,2177929
63,2020/03/16,1257823,2465709
64,2020/03/15,1519192,2545742
65,2020/03/14,1485553,2274658
66,2020/03/13,1714372,2634215
67,2020/03/12,1788456,2503924
68,2020/03/11,1702686,2187298
69,2020/03/10,1617220,2122898
70,2020/03/09,1909363,2378673
71,2020/03/08,2119867,2485430
72,2020/03/07,1844811,2156262
73,2020/03/06,2198517,2543689
74,2020/03/05,2130015,2402692
75,2020/03/04,1877401,2143619
76,2020/03/03,1736393,1979558
77,2020/03/02,2089641,2257920
78,2020/03/01,2280522,2301439
