,Date,Total Traveler Throughput,Total Traveler Throughput (1 Year Ago - Same Weekday)
0,2020/12/04,753951,2278205
1,2020/12/03,738050,2262878
2,2020/12/02,632356,2054380
3,2020/12/01,780283,2280403
4,2020/11/30,981912,2591470
5,2020/11/29,1176091,2882915
6,2020/11/28,964630,2648268
7,2020/11/27,820399,1968137
8,2020/11/26,560902,1591158
9,2020/11/25,1070967,2624250
10,2020/11/24,912090,2435170
11,2020/11/23,917354,2254188
12,2020/11/22,1047934,2321546
13,2020/11/21,984369,2194291
14,2020/11/20,1019836,2550459
15,2020/11/19,907332,2428095
16,2020/11/18,703135,2071631
17,2020/11/17,611497,1900895
18,2020/11/16,883157,2298856
19,2020/11/15,978297,2396681
20,2020/11/14,697360,1807230
21,2020/11/13,881579,2437211
22,2020/11/12,866679,2364920
23,2020/11/11,674633,2072207
24,2020/11/10,596475,2150003
25,2020/11/09,836600,2465392
26,2020/11/08,973020,2356349
27,2020/11/07,689951,1908805
28,2020/11/06,895091,2544350
29,2020/11/05,867105,2507365
30,2020/11/04,636533,2147882
31,2020/11/03,575829,2005101
32,2020/11/02,846138,2403304
33,2020/11/01,936092,2459525
34,2020/10/31,618476,1836781
35,2020/10/30,892712,2319906
36,2020/10/29,873636,2047910
37,2020/10/28,666957,2066516
38,2020/10/27,648517,1910506
39,2020/10/26,898735,2347017
40,2020/10/25,983745,2478287
41,2020/10/24,755287,1931971
42,2020/10/23,958437,2594337
43,2020/10/22,934386,2541581
44,2020/10/21,694150,2245199
45,2020/10/20,662484,2126637
46,2020/10/19,921031,2514673
47,2020/10/18,1031505,2606266
48,2020/10/17,788743,2049855
49,2020/10/16,973046,2637667
50,2020/10/15,950024,2581007
51,2020/10/14,717940,2317763
52,2020/10/13,680894,2313632
53,2020/10/12,958440,2616771
54,2020/10/11,984234,2555333
55,2020/10/10,769868,2074718
56,2020/10/09,968545,2688032
57,2020/10/08,936915,2605291
58,2020/10/07,668519,2215233
59,2020/10/06,590766,2035628
60,2020/10/05,816838,2400153
61,2020/10/04,900911,2542118
62,2020/10/03,677661,1921185
63,2020/10/02,857186,2526835
64,2020/10/01,855908,2447687
65,2020/09/30,634046,2082179
66,2020/09/29,568688,1998980
67,2020/09/28,797699,2368818
68,2020/09/27,873038,2452596
69,2020/09/26,659350,1966234
70,2020/09/25,826329,2547611
71,2020/09/24,826316,2510926
72,2020/09/23,608726,2188236
73,2020/09/22,549741,2033490
74,2020/09/21,769936,2431388
75,2020/09/20,847968,2517826
76,2020/09/19,638575,1938402
77,2020/09/18,812214,2571924
78,2020/09/17,784746,2455410
79,2020/09/16,577847,2146857
80,2020/09/15,522383,2013050
81,2020/09/14,729558,2405832
82,2020/09/13,809850,2485134
83,2020/09/12,613703,1879822
84,2020/09/11,731353,2484025
85,2020/09/10,755051,2449302
86,2020/09/09,616923,2005867
87,2020/09/08,704075,1943379
88,2020/09/07,935308,2292985
89,2020/09/06,689630,2370003
90,2020/09/05,664640,1755502
91,2020/09/04,968673,2198828
92,2020/09/03,877698,2109858
93,2020/09/02,578131,1889044
94,2020/09/01,516068,2037750
95,2020/08/31,711178,2278159
96,2020/08/30,807695,1887845
97,2020/08/29,591734,1954902
98,2020/08/28,738873,2658558
99,2020/08/27,721060,2561109
100,2020/08/26,540043,2188688
101,2020/08/25,523186,2015088
102,2020/08/24,726788,2358007
103,2020/08/23,841806,2493162
104,2020/08/22,625822,2039233
105,2020/08/21,764468,2559244
106,2020/08/20,772380,2533184
107,2020/08/19,586718,2306838
108,2020/08/18,565946,2247446
109,2020/08/17,773319,2576965
110,2020/08/16,862949,2584444
111,2020/08/15,689895,2171962
112,2020/08/14,783744,2627564
113,2020/08/13,761821,2602446
114,2020/08/12,590749,2391906
115,2020/08/11,559420,2306829
116,2020/08/10,761861,2567986
117,2020/08/09,831789,2647897
118,2020/08/08,683212,2290340
119,2020/08/07,762547,2725000
120,2020/08/06,743599,2707986
121,2020/08/05,595739,2430094
122,2020/08/04,543601,2387115
123,2020/08/03,737235,2619406
124,2020/08/02,799861,2688640
125,2020/08/01,709033,2367967
126,2020/07/31,767320,2730936
127,2020/07/30,718310,2742882
128,2020/07/29,573200,2542365
129,2020/07/28,536756,2438967
130,2020/07/27,700043,2613346
131,2020/07/26,751205,2700723
132,2020/07/25,649027,2364925
133,2020/07/24,724770,2732770
134,2020/07/23,704815,2705399
135,2020/07/22,570951,2561911
136,2020/07/21,530421,2499460
137,2020/07/20,695330,2635312
138,2020/07/19,747422,2727355
139,2020/07/18,646654,2396462
140,2020/07/17,720378,2776960
141,2020/07/16,706164,2716828
142,2020/07/15,589285,2522563
143,2020/07/14,540268,2447177
144,2020/07/13,697985,2615115
145,2020/07/12,754545,2669717
146,2020/07/11,656284,2312178
147,2020/07/10,711124,2716812
148,2020/07/09,709653,2608209
149,2020/07/08,632498,2515902
150,2020/07/07,641761,2506859
151,2020/07/06,755555,2748718
152,2020/07/05,732123,2795369
153,2020/07/04,466669,2345846
154,2020/07/03,718988,2184253
155,2020/07/02,764761,2088760
156,2020/07/01,626516,2547889
157,2020/06/30,500054,2347767
158,2020/06/29,625235,2455536
159,2020/06/28,633810,2632030
160,2020/06/27,546310,2368846
161,2020/06/26,632984,2730515
162,2020/06/25,623624,2711222
163,2020/06/24,494826,2594661
164,2020/06/23,471421,2506510
165,2020/06/22,607540,2716428
166,2020/06/21,590456,2719643
167,2020/06/20,507129,2378559
168,2020/06/19,587908,2772903
169,2020/06/18,576514,2728786
170,2020/06/17,441829,2552395
171,2020/06/16,417924,2466574
172,2020/06/15,534528,2699580
