,Date,Total Traveler Throughput,Total Traveler Throughput(1 Year Ago - Same Weekday)
0,2020/09/28,797699,2368818
1,2020/09/27,873038,2452596
2,2020/09/26,659350,1966234
3,2020/09/25,826329,2547611
4,2020/09/24,826316,2510926
5,2020/09/23,608726,2188236
6,2020/09/22,549741,2033490
7,2020/09/21,769936,2431388
8,2020/09/20,847968,2517826
9,2020/09/19,638575,1938402
10,2020/09/18,812214,2571924
11,2020/09/17,784746,2455410
12,2020/09/16,577847,2146857
13,2020/09/15,522383,2013050
14,2020/09/14,729558,2405832
15,2020/09/13,809850,2485134
16,2020/09/12,613703,1879822
17,2020/09/11,731353,2484025
18,2020/09/10,755051,2449302
19,2020/09/09,616923,2005867
20,2020/09/08,704075,1943379
21,2020/09/07,935308,2292985
22,2020/09/06,689630,2370003
23,2020/09/05,664640,1755502
24,2020/09/04,968673,2198828
25,2020/09/03,877698,2109858
26,2020/09/02,578131,1889044
27,2020/09/01,516068,2037750
28,2020/08/31,711178,2278159
29,2020/08/30,807695,1887845
30,2020/08/29,591734,1954902
31,2020/08/28,738873,2658558
32,2020/08/27,721060,2561109
33,2020/08/26,540043,2188688
34,2020/08/25,523186,2015088
35,2020/08/24,726788,2358007
36,2020/08/23,841806,2493162
37,2020/08/22,625822,2039233
38,2020/08/21,764468,2559244
39,2020/08/20,772380,2533184
40,2020/08/19,586718,2306838
41,2020/08/18,565946,2247446
42,2020/08/17,773319,2576965
43,2020/08/16,862949,2584444
44,2020/08/15,689895,2171962
45,2020/08/14,783744,2627564
46,2020/08/13,761821,2602446
47,2020/08/12,590749,2391906
48,2020/08/11,559420,2306829
49,2020/08/10,761861,2567986
50,2020/08/09,831789,2647897
51,2020/08/08,683212,2290340
52,2020/08/07,762547,2725000
53,2020/08/06,743599,2707986
54,2020/08/05,595739,2430094
55,2020/08/04,543601,2387115
56,2020/08/03,737235,2619406
57,2020/08/02,799861,2688640
58,2020/08/01,709033,2367967
59,2020/07/31,767320,2730936
60,2020/07/30,718310,2742882
61,2020/07/29,573200,2542365
62,2020/07/28,536756,2438967
63,2020/07/27,700043,2613346
64,2020/07/26,751205,2700723
65,2020/07/25,649027,2364925
66,2020/07/24,724770,2732770
67,2020/07/23,704815,2705399
68,2020/07/22,570951,2561911
69,2020/07/21,530421,2499460
70,2020/07/20,695330,2635312
71,2020/07/19,747422,2727355
72,2020/07/18,646654,2396462
73,2020/07/17,720378,2776960
74,2020/07/16,706164,2716828
75,2020/07/15,589285,2522563
76,2020/07/14,540268,2447177
77,2020/07/13,697985,2615115
78,2020/07/12,754545,2669717
79,2020/07/11,656284,2312178
80,2020/07/10,711124,2716812
81,2020/07/09,709653,2608209
82,2020/07/08,632498,2515902
83,2020/07/07,641761,2506859
84,2020/07/06,755555,2748718
85,2020/07/05,732123,2795369
86,2020/07/04,466669,2345846
87,2020/07/03,718988,2184253
88,2020/07/02,764761,2088760
89,2020/07/01,626516,2547889
90,2020/06/30,500054,2347767
91,2020/06/29,625235,2455536
92,2020/06/28,633810,2632030
93,2020/06/27,546310,2368846
94,2020/06/26,632984,2730515
95,2020/06/25,623624,2711222
96,2020/06/24,494826,2594661
97,2020/06/23,471421,2506510
98,2020/06/22,607540,2716428
99,2020/06/21,590456,2719643
100,2020/06/20,507129,2378559
101,2020/06/19,587908,2772903
102,2020/06/18,576514,2728786
103,2020/06/17,441829,2552395
104,2020/06/16,417924,2466574
105,2020/06/15,534528,2699580
106,2020/06/14,544046,2642083
107,2020/06/13,437119,2318946
108,2020/06/12,519304,2727860
109,2020/06/11,502209,2675686
110,2020/06/10,386969,2509058
111,2020/06/09,338382,2433189
112,2020/06/08,430414,2644981
113,2020/06/07,441255,2669860
114,2020/06/06,353016,2225952
115,2020/06/05,419675,2649808
116,2020/06/04,391882,2623947
117,2020/06/03,304436,2370152
118,2020/06/02,267742,2247421
119,2020/06/01,353261,2499002
120,2020/05/31,352947,2555578
121,2020/05/30,268867,2117180
122,2020/05/29,327133,2570613
123,2020/05/28,321776,2485770
124,2020/05/27,261170,2269035
125,2020/05/26,264843,2453649
126,2020/05/25,340769,2512237
127,2020/05/24,267451,2070716
128,2020/05/23,253190,2124825
129,2020/05/22,348673,2792670
130,2020/05/21,318449,2673635
131,2020/05/20,230367,2472123
132,2020/05/19,190477,2312727
133,2020/05/18,244176,2615691
134,2020/05/17,253807,2620276
135,2020/05/16,193340,2091116
136,2020/05/15,250467,2664549
137,2020/05/14,234928,2611324
138,2020/05/13,176667,2343675
139,2020/05/12,163205,2191387
140,2020/05/11,215645,2512315
141,2020/05/10,200815,2419114
142,2020/05/09,169580,1985942
143,2020/05/08,215444,2602631
144,2020/05/07,190863,2555342
145,2020/05/06,140409,2270662
146,2020/05/05,130601,2106597
147,2020/05/04,163692,2470969
148,2020/05/03,170254,2512598
149,2020/05/02,134261,1968278
150,2020/05/01,171563,2546029
151,2020/04/30,154695,2499461
152,2020/04/29,119629,2256442
153,2020/04/28,110913,2102068
154,2020/04/27,119854,2412770
155,2020/04/26,128875,2506809
156,2020/04/25,114459,1990464
157,2020/04/24,123464,2521897
158,2020/04/23,111627,2526961
159,2020/04/22,98968,2254209
160,2020/04/21,92859,2227475
161,2020/04/20,99344,2594171
162,2020/04/19,105382,2356802
163,2020/04/18,97236,1988205
164,2020/04/17,106385,2457133
165,2020/04/16,95085,2616158
166,2020/04/15,90784,2317381
167,2020/04/14,87534,2208688
168,2020/04/13,102184,2484580
169,2020/04/12,90510,2446801
170,2020/04/11,93645,2059142
171,2020/04/10,108977,2590499
172,2020/04/09,104090,2487398
173,2020/04/08,94931,2229276
174,2020/04/07,97130,2091056
175,2020/04/06,108310,2384091
176,2020/04/05,122029,2462929
177,2020/04/04,118302,2011715
178,2020/04/03,129763,2476884
179,2020/04/02,124021,2411500
180,2020/04/01,136023,2151626
181,2020/03/31,146348,2026256
182,2020/03/30,154080,2360053
183,2020/03/29,180002,2510294
184,2020/03/28,184027,2172920
185,2020/03/27,199644,2538384
186,2020/03/26,203858,2487162
187,2020/03/25,239234,2273811
188,2020/03/24,279018,2151913
189,2020/03/23,331431,2434370
190,2020/03/22,454516,2542643
191,2020/03/21,548132,2227181
192,2020/03/20,593167,2559307
