,Date,Total Traveler Throughput,Total Traveler Throughput(1 Year Ago - Same Weekday)
193,2020/03/19,620883,2513231
194,2020/03/18,779631,2320885
195,2020/03/17,953699,2177929
196,2020/03/16,1257823,2465709
197,2020/03/15,1519192,2545742
198,2020/03/14,1485553,2274658
199,2020/03/13,1714372,2634215
200,2020/03/12,1788456,2503924
201,2020/03/11,1702686,2187298
202,2020/03/10,1617220,2122898
203,2020/03/09,1909363,2378673
204,2020/03/08,2119867,2485430
205,2020/03/07,1844811,2156262
206,2020/03/06,2198517,2543689
207,2020/03/05,2130015,2402692
208,2020/03/04,1877401,2143619
209,2020/03/03,1736393,1979558
210,2020/03/02,2089641,2257920
211,2020/03/01,2280522,2301439
