date, pm25, pm10, o3, no2, so2
2018/1/15, 109, 124, , 5, 5
2018/1/16, 96, 79, , 6, 3
2018/1/17, 68, 57, , 8, 4
2018/1/18, 65, 60, , 19, 3
2018/1/19, 82, 69, , 21, 3
2018/1/20, 92, 112, , 6, 3
2018/1/21, 160, 316, , 9, 1
2018/1/22, 201, 314, , 17, 3
2018/1/23, 181, 234, , 30, 3
2018/1/24, 179, 207, , 31, 2
2018/1/25, 171, 190, , 19, 4
2018/1/26, 151, 173, , 24, 4
2018/1/27, 133, 128, , 15, 5
2018/1/28, 118, 70, , 4, 6
2018/1/29, 60, 41, , 7, 4
2018/1/30, 62, 37, , 6, 4
2018/1/31, 60, 44, , 6, 7
2018/2/1, 66, 47, , 6, 5
2018/2/2, 68, 49, , 11, 6
2018/2/3, 72, 48, , 21, 6
2018/2/4, 90, 50, , 21, 4
2018/2/5, 79, 73, , 19, 6
2018/2/6, 90, 98, , 17, 6
2018/2/7, 122, 135, , 12, 8
2018/2/8, 135, , , , 
2018/2/9, 143, 96, , 18, 9
2018/2/10, 119, 96, , 31, 8
2018/2/11, 128, 76, 12, 43, 7
2018/2/12, 119, 74, 15, 37, 7
2018/2/13, 116, 98, 14, 17, 2
2018/2/14, 141, 134, 13, 19, 2
2018/2/15, 118, 79, 17, 23, 3
2018/2/16, 107, 93, 11, 25, 5
2018/2/17, 129, 96, 14, 33, 4
2018/2/18, 126, 99, 16, 26, 3
2018/2/19, 133, 137, 18, 9, 5
2018/2/20, 150, 143, 19, 18, 5
2018/2/21, 150, 146, 17, 19, 3
2018/2/22, 141, 85, 19, 20, 3
2018/2/23, 98, 82, 11, 16, 2
2018/2/24, 116, 90, 12, 14, 1
2018/2/25, 60, 50, 16, 12, 2
2018/2/26, 47, 49, 16, 14, 2
2018/2/27, 65, 80, 14, 18, 2
2018/2/28, 142, 123, 10, 21, 2
2018/3/1, 102, 71, 13, 13, 1
2018/3/2, 62, 54, 23, 9, 8
2018/3/3, 75, 52, 24, 16, 11
2018/3/4, 93, 57, 25, 15, 8
2018/3/5, 110, 73, 22, 29, 7
2018/3/6, 125, 80, 21, 24, 9
2018/3/7, 134, 65, 20, 24, 12
2018/3/8, 129, 73, 26, 20, 24
2018/3/9, 147, 83, 14, 30, 7
2018/3/10, 146, 103, 13, 22, 2
2018/3/11, 145, 112, 12, 14, 
2018/3/12, 104, 88, 18, 21, 4
2018/3/13, 111, 72, 27, 9, 7
2018/3/14, 66, , 22, , 
2018/3/15, 88, , 21, , 
2018/3/16, 102, , 17, , 
2018/3/17, 110, 57, 22, 9, 6
2018/3/18, 123, 42, 24, 9, 14
2018/3/19, 64, 50, 24, 18, 6
2018/3/20, 86, 68, 22, 22, 4
2018/3/21, 98, 71, 26, 22, 5
2018/3/22, 117, 75, 28, 12, 8
2018/3/23, 135, 87, 27, 15, 5
2018/3/24, 121, 63, 17, 21, 3
2018/3/25, 105, 70, 17, 22, 2
2018/3/26, 86, 54, 23, 20, 9
2018/3/27, 102, 62, 31, 13, 10
2018/3/28, 127, 123, 21, 20, 6
2018/3/29, 133, 108, 27, 17, 4
2018/3/30, 144, 89, 23, 17, 8
2018/3/31, 144, 125, 23, 6, 6
2017/12/19, 79, 47, 64, 23, 5
2017/12/20, 93, 72, 64, 22, 7
2017/12/21, 85, 42, 67, 16, 4
2017/12/22, 127, 107, 66, 19, 5
2017/12/23, 136, 135, 84, 10, 6
2017/12/24, 152, 136, 92, 12, 6
2017/12/25, 134, 123, 70, 22, 10
2017/12/26, 115, 113, 59, 28, 7
2017/12/27, 113, 117, 64, 14, 3
2017/12/28, 123, 106, 73, 10, 4
2017/12/29, 93, 109, 49, 15, 2
2017/12/30, 76, 90, 48, 21, 2
2019/12/31, , 36, 20, 17, 5
2019/10/15, , 79, 2, 17, 3
2019/10/18, , 68, 23, 14, 3
2019/10/19, , 68, 23, 14, 3
2019/10/20, , 69, 22, 15, 3
2019/10/21, , 74, 21, 15, 4
2019/11/23, , 43, 22, 20, 5
2019/11/30, , 46, , 14, 4
2019/12/1, , 52, , 22, 5
2019/12/2, , 54, , 21, 5
2019/12/3, , 53, 12, 23, 4
2019/8/21, , 94, 11, 9, 4
2018/11/7, , 78, , 22, 3
2018/11/8, , 59, , 15, 5
2018/11/9, , 57, , 16, 5
2018/11/10, , 47, , 16, 3
2018/11/11, , 46, , 16, 2
2018/12/14, , 54, , 10, 4
2018/12/15, , 54, , 14, 3
2018/5/13, , 258, 24, 13, 3
2018/6/17, , 60, 26, 13, 6
2017/11/13, , 57, 39, 8, 3
2017/11/14, , 43, 39, 14, 3
2017/11/15, , 61, 43, 23, 4
2017/11/16, , 66, 50, 24, 1
2017/11/17, , 56, 56, 21, 3
2017/11/18, , 54, 37, 28, 1
2017/11/19, , 57, 36, 24, 
2017/11/20, , 52, 36, 28, 1
2017/11/21, , 51, 30, 39, 1
2017/11/22, , 54, 23, 35, 1
2017/11/23, , 56, 48, 16, 1
2017/11/24, , 45, 48, 9, 1
2017/11/25, , 31, 49, 6, 2
2017/11/26, , 34, 45, 7, 2
2017/11/27, , 27, 43, 24, 2
2017/11/28, , 41, 52, 14, 3
2017/11/29, , 62, 45, 7, 3
2017/11/30, , 42, 49, 19, 3
2017/12/1, , 50, 53, 13, 4
2017/12/2, , 59, 60, 5, 5
2017/12/3, , 64, 64, 7, 3
2017/12/4, , 72, 45, 21, 1
2017/12/5, , 92, 36, 18, 1
2017/12/6, , 58, 46, 29, 3
2017/12/7, , 57, 40, 34, 2
2017/12/8, , 60, 53, 17, 3
2017/12/9, , 100, 50, 4, 3
2017/12/10, , 94, 54, 14, 5
2017/12/11, , 60, 61, 6, 6
2017/12/12, , 50, 58, 4, 6
2017/12/13, , 62, 49, 15, 4
2017/12/14, , 69, 54, 31, 1
2017/12/15, , 71, 58, 16, 2
2017/12/16, , 58, 60, 6, 1
2017/12/17, , 50, 61, 14, 1
2017/12/18, , 39, 62, 18, 1
2016/7/1, , 74, 58, 1, 2
2016/7/2, , 82, 50, 1, 1
2016/7/3, , 81, 48, 2, 1
2016/7/4, , 86, 53, 3, 1
2016/7/5, , 91, 73, 2, 2
2016/7/6, , 148, 50, 2, 2
2016/7/7, , 80, 60, 3, 2
2016/7/8, , 71, 61, 1, 2
2016/7/9, , 61, 59, 2, 1
2016/7/10, , 57, 54, 2, 1
2016/7/11, , 61, 58, 1, 1
2016/7/12, , 72, 78, 1, 2
2016/7/13, , 180, 49, 5, 
2016/7/14, , 166, 55, 3, 
2016/7/15, , 121, 46, 4, 
2016/7/16, , 94, 35, 4, 
2016/7/17, , 134, 19, 6, 
2016/7/18, , 198, 22, 6, 
2016/7/19, , 303, 19, 5, 
2016/7/20, , 168, 25, 6, 
2016/7/21, , 98, 30, 7, 
2016/7/22, , 80, 41, 5, 1
2016/7/23, , 76, 26, 6, 
2016/7/24, , 108, 29, 4, 
2016/7/25, , 161, 25, 5, 
2016/7/26, , 94, 33, 3, 
2016/7/27, , 101, 29, 3, 
2016/7/28, , 120, 19, 2, 
2016/7/29, , 124, 28, 5, 
2016/7/30, , 97, 32, 5, 
2016/7/31, , 74, 31, 7, 1
2016/8/1, , 90, 46, 5, 4
2016/8/2, , 69, 50, 12, 2
2016/8/3, , 66, 26, 6, 
2016/8/4, , 626, 24, 6, 
2016/8/5, , 243, 28, 8, 
2016/8/6, , 365, 38, 8, 
2016/8/7, , 172, 47, 10, 
2016/8/8, , 133, 40, 8, 
2016/8/9, , 97, 62, 5, 1
2016/8/10, , 74, 77, 7, 2
2016/8/11, , 92, 23, 5, 
2016/8/12, , 144, 25, 6, 
2016/8/13, , 278, 38, 9, 
2016/8/14, , 144, 16, 10, 1
2016/8/15, , 84, , , 
2016/4/1, , 29, 43, 1, 1
2016/4/2, , 29, 47, 2, 1
2016/4/3, , 12, 48, 6, 1
2016/4/4, , 13, 38, 7, 
2016/4/5, , 19, 32, 15, 
2016/4/6, , 34, 30, 13, 
2016/4/7, , 31, 31, 10, 
2016/4/8, , 23, 37, 10, 1
2016/4/9, , 32, 42, 16, 2
2016/4/10, , 46, 48, 13, 1
2016/4/11, , 46, 45, 16, 1
2016/4/12, , 55, 34, 8, 
2016/4/13, , 51, 29, 13, 
2016/4/14, , 34, 28, 6, 
2016/4/15, , 26, 45, 2, 1
2016/4/16, , 26, 51, 2, 2
2016/4/17, , 22, 58, 2, 2
2016/4/18, , 35, 47, 5, 1
2016/4/19, , 24, 42, 6, 1
2016/4/20, , 21, 43, 4, 2
2016/4/21, , 17, 50, 2, 2
2016/4/22, , 17, 43, 8, 2
2016/4/23, , 22, 36, 14, 1
2016/4/24, , 23, 31, 16, 3
2016/4/25, , 35, 34, 18, 4
2016/4/26, , 48, 34, 12, 2
2016/4/27, , 58, 26, 13, 2
2016/4/28, , 62, 17, 10, 1
2016/4/29, , 58, 34, 11, 1
2016/4/30, , 40, 34, 39, 2
2016/5/1, , 61, , 24, 
2016/5/9, , 70, 28, 11, 1
2016/5/10, , 69, 26, 10, 1
2016/5/11, , 63, 27, 16, 3
2016/5/12, , 58, 29, 14, 1
2016/5/13, , 52, 48, 8, 3
2016/5/14, , 50, 44, 3, 2
2016/5/15, , 43, 74, 7, 1
2016/5/16, , 57, 51, 11, 1
2016/5/17, , 59, 35, 18, 1
2016/5/18, , 52, 41, 16, 2
2016/5/19, , 53, 61, 9, 3
2016/5/20, , 48, 41, 2, 3
2016/5/21, , 60, 46, 3, 4
2016/5/22, , 37, 60, 5, 3
2016/5/23, , 37, 42, 7, 3
2016/5/24, , 32, 41, 10, 3
2016/5/25, , 27, 44, 3, 1
2016/5/26, , 36, 44, 4, 2
2016/5/27, , 37, 39, 6, 2
2016/5/28, , 35, 44, 8, 2
2016/5/29, , 33, 48, 8, 3
2016/5/30, , 35, 41, 7, 2
2016/5/31, , 27, 52, 1, 1
2016/6/1, , 39, 56, 2, 1
2016/6/2, , 52, 58, 4, 3
2016/6/3, , 75, 58, 4, 1
2016/6/4, , 76, 49, 7, 
2016/6/5, , 84, 51, 6, 
2016/6/6, , 76, 48, 8, 1
2016/6/7, , 63, 80, 7, 3
2016/6/8, , 77, 48, 3, 1
2016/6/9, , 243, 44, 6, 1
2016/6/10, , 74, 46, 6, 1
2016/6/11, , 66, 38, 3, 1
2016/6/12, , 68, 51, 2, 
2016/6/13, , 56, 66, 2, 1
2016/6/14, , 73, 58, 4, 
2016/6/15, , 45, 45, 7, 
2016/6/16, , 57, 64, 5, 
2016/6/17, , 82, 43, 4, 
2016/6/18, , 105, 42, 4, 
2016/6/19, , 474, 40, 8, 
2016/6/20, , 299, 49, 5, 2
2016/6/21, , 127, 50, 8, 1
2016/6/22, , 108, 30, 10, 
2016/6/23, , 109, 51, 7, 
2016/6/24, , 119, 45, 8, 
2016/6/25, , 109, 44, 10, 
2016/6/26, , 92, 44, 9, 1
2016/6/27, , 84, 64, 6, 2
2016/6/28, , 72, 65, 8, 
2016/6/29, , 87, 44, 7, 
2016/6/30, , 120, 51, 3, 1
2016/1/13, , 26, 35, 5, 2
2016/1/14, , 20, 39, 7, 1
2016/1/15, , 19, 44, 7, 1
2016/1/16, , 17, 40, 5, 1
2016/1/17, , 23, 36, 14, 1
2016/1/18, , 28, 25, 22, 
2016/1/19, , 33, 30, 17, 
2016/1/20, , 27, 35, 17, 
2016/1/21, , 26, 38, 8, 1
2016/1/22, , 31, 36, 9, 2
2016/1/23, , 40, 31, 18, 
2016/1/24, , 46, 32, 16, 
2016/1/25, , 38, 31, 10, 
2016/1/26, , 33, 27, 14, 
2016/1/27, , 21, 36, 7, 
2016/1/28, , 31, 41, 1, 
2016/1/29, , 23, 39, 1, 1
2016/1/30, , 19, 39, 4, 1
2016/1/31, , 14, 37, 8, 
2016/2/1, , 16, 42, 11, 
2016/2/2, , 15, 43, 9, 1
2016/2/3, , 15, 36, 5, 1
2016/2/4, , 21, 38, 8, 
2016/2/5, , 22, 42, 14, 
2016/2/6, , 16, 36, 15, 
2016/2/7, , 21, 40, 19, 
2016/2/8, , 24, 39, 11, 
2016/2/9, , 34, 37, 5, 
2016/2/10, , 19, 41, 11, 1
2016/2/11, , 18, 38, 3, 1
2016/2/12, , 19, 41, 2, 1
2016/2/13, , 18, 44, 8, 1
2016/2/14, , 22, 41, 8, 
2016/2/15, , 21, 42, 7, 1
2016/2/16, , 21, 40, 7, 1
2016/2/17, , 31, 35, 10, 
2016/2/18, , 16, 40, 6, 1
2016/2/19, , 20, 44, 18, 1
2016/2/20, , 27, 37, 25, 1
2016/2/21, , 26, 38, 20, 1
2016/2/22, , 32, 27, 18, 
2016/2/23, , 35, 25, 21, 
2016/2/24, , 30, 41, 6, 
2016/2/25, , 23, 41, 5, 2
2016/2/26, , 16, 38, 8, 
2016/2/27, , 24, 30, 15, 
2016/2/28, , 27, 32, 9, 1
2016/2/29, , 23, 42, 3, 1
2016/3/1, , 23, 44, 11, 1
2016/3/2, , 23, 35, 9, 
2016/3/3, , 18, 37, 6, 
2016/3/4, , 13, 28, 12, 
2016/3/5, , 20, 24, 11, 1
2016/3/6, , 38, 18, 16, 
2016/3/7, , 23, 14, 12, 
2016/3/8, , 26, 17, 11, 
2016/3/9, , 25, 22, 7, 
2016/3/10, , 11, 30, 6, 4
2016/3/11, , 29, 36, 18, 2
2016/3/12, , 37, 36, 8, 1
2016/3/13, , 34, 28, 7, 2
2016/3/14, , 20, 18, 13, 
2016/3/15, , 26, 26, 6, 1
2016/3/16, , 21, 38, 7, 
2016/3/17, , 69, 38, 3, 
2016/3/18, , 64, 31, 3, 1
2016/3/19, , 27, , , 
2016/3/23, , 77, 40, 3, 1
2016/3/24, , 30, 36, 7, 1
2016/3/25, , 21, 39, 9, 
2016/3/26, , 21, 33, 10, 
2016/3/27, , 51, 22, 14, 
2016/3/28, , 94, 22, 8, 
2016/3/29, , 121, 34, 7, 
2016/3/30, , 87, 36, 4, 
2016/3/31, , 47, 40, 2, 
2016/1/12, , , 39, 5, 2
2016/3/21, , , 14, , 
2016/3/22, , , 29, , 1
2016/5/8, , , , 27, 
